Lote,Endereco,link,Titulo,Descricao,Total_Fotos,Rotulo,Valor (R$),Data
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Moisés de Corena,  621",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-moises-de-corena-621/33480-205595,www.portalzuk.com.br,,0,1º leilão,98000.00,14/07/2025 às 10:08
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Moisés de Corena,  621",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-moises-de-corena-621/33480-205595,www.portalzuk.com.br,,0,2º leilão,181909.43,28/07/2025 às 10:08
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Oliveira Roma,  240",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-oliveira-roma-240/33480-205596,www.portalzuk.com.br,,0,1º leilão,121300.00,14/07/2025 às 10:09
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Oliveira Roma,  240",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-oliveira-roma-240/33480-205596,www.portalzuk.com.br,,0,2º leilão,132318.27,28/07/2025 às 10:09
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Domênico Allegri,  60",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-domenico-allegri-60/33480-205597,www.portalzuk.com.br,,0,1º leilão,103000.00,14/07/2025 às 10:10
Apartamento,"São Paulo / SP - Cidade Tiradentes Rua Domênico Allegri,  60",https://www.portalzuk.com.br/imovel/sp/sao-paulo/cidade-tiradentes/rua-domenico-allegri-60/33480-205597,www.portalzuk.com.br,,0,2º leilão,149884.37,28/07/2025 às 10:10
Terreno,"Magé / RJ - Nova Marília Avenida Valmir Vieira da Silva (Antiga Avenida Dois),  s/n°",https://www.portalzuk.com.br/imovel/rj/mage/nova-marilia/avenida-valmir-vieira-da-silva-(antiga-avenida-dois)-s-n°/33445-205008,www.portalzuk.com.br,,0,Lance inicial,32000.00,14/07/2025 às 10:11
Apartamento,"São Paulo / SP - Santa Etelvina Ii-A Rua Igarapé Água Azul,  923",https://www.portalzuk.com.br/imovel/sp/sao-paulo/santa-etelvina-ii_a/rua-igarape-agua-azul-923/33480-205598,www.portalzuk.com.br,,0,1º leilão,117000.00,14/07/2025 às 10:11
Apartamento,"São Paulo / SP - Santa Etelvina Ii-A Rua Igarapé Água Azul,  923",https://www.portalzuk.com.br/imovel/sp/sao-paulo/santa-etelvina-ii_a/rua-igarape-agua-azul-923/33480-205598,www.portalzuk.com.br,,0,2º leilão,55065.1653,28/07/2025 às 10:11
Apartamento,"São Paulo / SP - Colônia Rua Arroio Campo Bom,  342",https://www.portalzuk.com.br/imovel/sp/sao-paulo/colonia/rua-arroio-campo-bom-342/33480-205599,www.portalzuk.com.br,,0,1º leilão,101300.00,14/07/2025 às 10:12
Apartamento,"São Paulo / SP - Colônia Rua Arroio Campo Bom,  342",https://www.portalzuk.com.br/imovel/sp/sao-paulo/colonia/rua-arroio-campo-bom-342/33480-205599,www.portalzuk.com.br,,0,2º leilão,255420.10,28/07/2025 às 10:12
Apartamento,"São Paulo / SP - Conjunto Habitacional Santa Etelvina Ii Rua Dona Eloá do Valle Quadros,  191",https://www.portalzuk.com.br/imovel/sp/sao-paulo/conjunto-habitacional-santa-etelvina-ii/rua-dona-eloa-do-valle-quadros-191/33480-205600,www.portalzuk.com.br,,0,1º leilão,121900.00,14/07/2025 às 10:13
