Rotulo,Valor (R$),Data,Lote,Endereco,link,Andar,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Quartos,Vagas
1º leilão,"302.492,19",14/04/2025 às 11:02,Apartamento,"São Paulo / SP - Lauzane Paulista Rua Tavannes,  145",https://www.portalzuk.com.br/imovel/sp/sao-paulo/lauzane-paulista/rua-tavannes-145/32718-200296,3,,,,"85,49m²","42,60m²",,1
2º leilão," 151.246,1050",28/04/2025 às 11:02,Apartamento,"São Paulo / SP - Lauzane Paulista Rua Tavannes,  145",https://www.portalzuk.com.br/imovel/sp/sao-paulo/lauzane-paulista/rua-tavannes-145/32718-200296,3,,,,"85,49m²","42,60m²",,1
1º leilão,"2.335.605,14",14/04/2025 às 11:04,Casa,"Cajamar / SP - Serra dos Lagos Rua Ametista,  526",https://www.portalzuk.com.br/imovel/sp/cajamar/serra-dos-lagos/rua-ametista-526/32718-200473,,"321,87m²",,"1.028,62m²",,,,
2º leilão," 2.051.154,2012",28/04/2025 às 11:04,Casa,"Cajamar / SP - Serra dos Lagos Rua Ametista,  526",https://www.portalzuk.com.br/imovel/sp/cajamar/serra-dos-lagos/rua-ametista-526/32718-200473,,"321,87m²",,"1.028,62m²",,,,
1º leilão,"288.651,09",14/04/2025 às 11:05,Apartamento,"Salvador / BA - Piatã Rua Marcos Pinheiro,  69",https://www.portalzuk.com.br/imovel/ba/salvador/piata/rua-marcos-pinheiro-69/32718-200474,,,,,"111,37m²","56,22m²",2,1
2º leilão," 235.854,4018",28/04/2025 às 11:05,Apartamento,"Salvador / BA - Piatã Rua Marcos Pinheiro,  69",https://www.portalzuk.com.br/imovel/ba/salvador/piata/rua-marcos-pinheiro-69/32718-200474,,,,,,,,
1º leilão,"
                      436.456,86",28/04/2025 às 11:05,Apartamento,"Teresina / PI - Lourival Parente Rua Agenor Veloso,  1200",https://www.portalzuk.com.br/imovel/pi/teresina/lourival-parente/rua-agenor-veloso-1200/32876-200918,,,,,,,,
2º leilão," 305.511,4830",30/04/2025 às 11:05,Apartamento,"Teresina / PI - Lourival Parente Rua Agenor Veloso,  1200",https://www.portalzuk.com.br/imovel/pi/teresina/lourival-parente/rua-agenor-veloso-1200/32876-200918,,,,,,,,
1º leilão,"352.181,52",14/04/2025 às 11:06,Apartamento,"Fortaleza / CE - Aldeota Rua Isac Meyer,  20",https://www.portalzuk.com.br/imovel/ce/fortaleza/aldeota/rua-isac-meyer-20/32718-200475,,,,,,,,
2º leilão," 222.975,6537",28/04/2025 às 11:06,Apartamento,"Fortaleza / CE - Aldeota Rua Isac Meyer,  20",https://www.portalzuk.com.br/imovel/ce/fortaleza/aldeota/rua-isac-meyer-20/32718-200475,,,,,"149,18m²","89,34m²",,2
