endereco,leiloeiro,link_do_processo,tipo_leilao,url,valor
"Rua Dário Alves de Paiva, 1069, Setor Central, Rio Verde, GO",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/go/rio-verde/casa-141-m2-rio-verde-go-rua-dario-alves-de-paiva-1069-esquina-com-rua-luiz-de-bastos-setor-central-x112742?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-141-m2-rio-verde-go-rua-dario-alves-de-paiva-1069-esquina-com-rua-luiz-de-bastos-setor-central-x112742&utm_term=X112742&utm_content=link,171000.00
"Rua Antônio Carmilo Souza, 67, São Jorge, Barbacena, MG",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/mg/barbacena/apartamento-68-m2-barbacena-mg-rua-antonio-camilo-souza-67-apto-201-sao-jorge-x112743?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-68-m2-barbacena-mg-rua-antonio-camilo-souza-67-apto-201-sao-jorge-x112743&utm_term=X112743&utm_content=link,165000.00
"Travessa Orlando Moreschi, 235, Parque Novo Século, Campo Grande, MS",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/ms/campo-grande/casa-69-m2-campo-grande-ms-rua-orlando-moreschi-235-centro-oeste-x112744?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-69-m2-campo-grande-ms-rua-orlando-moreschi-235-centro-oeste-x112744&utm_term=X112744&utm_content=link,78000.00
"Rua Vinte, Lt. 07 da Qd. 03, Capão Grande, Várzea Grande, MT",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/mt/varzea-grande/casa-41-m2-varzea-grande-mt-rua-vinte-lt-07-da-qd-03-capao-grande-x112745?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-41-m2-varzea-grande-mt-rua-vinte-lt-07-da-qd-03-capao-grande-x112745&utm_term=X112745&utm_content=link,52000.00
"Rua Padre Carapuceiro, 475, Boa Viagem, Recife, PE",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/pe/recife/apartamento-52-m2-recife-pe-rua-padre-carapuceiro-475-apto-401-boa-viagem-x112746?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-52-m2-recife-pe-rua-padre-carapuceiro-475-apto-401-boa-viagem-x112746&utm_term=X112746&utm_content=link,86000.00
"Rua Nilton Mariano de Lima, 185, São Sebastião, Barra Mansa, RJ",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/rj/barra-mansa/casa-59-m2-barra-mansa-rj-rua-nilton-mariano-de-lima-185-sao-sebastiao-x112748?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-59-m2-barra-mansa-rj-rua-nilton-mariano-de-lima-185-sao-sebastiao-x112748&utm_term=X112748&utm_content=link,73000.00
"Rua Américo Ribeiro de Resende, 25, Olinda, Nilópolis, RJ",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/rj/nilopolis/casa-83-m2-nilopolis-rj-rua-americo-ribeiro-rezende-25-entrada-pela-rua-joao-rodrigues-da-cunha-45-olinda-x112749?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-83-m2-nilopolis-rj-rua-americo-ribeiro-rezende-25-entrada-pela-rua-joao-rodrigues-da-cunha-45-olinda-x112749&utm_term=X112749&utm_content=link,139000.00
"Rua Professor João Bezerra, 132, Centro, Jucurutu, RN",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/rn/jucurutu/casa-97-m2-jucurutu-rn-rua-professor-joao-bezerra-132-centro-x112750?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-97-m2-jucurutu-rn-rua-professor-joao-bezerra-132-centro-x112750&utm_term=X112750&utm_content=link,72000.00
"Avenida Tiradentes, 752, Independência, São Gabriel, RS",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/rs/sao-gabriel/casa-47-m2-sao-gabriel-rs-av-tiradentes-752-independencia-x112751?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-47-m2-sao-gabriel-rs-av-tiradentes-752-independencia-x112751&utm_term=X112751&utm_content=link,59000.00
"Rua Domingos João Guzzo, esquina com Rua Geraldo Frazzio - Lt. 05-Porção 02 da Qd. 01, Parque Industrial São Domingos, Barra Bonita, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/sp/barra-bonita/terreno-574-m2-barra-bonita-sp-rua-domingos-joao-guzzo-esquina-com-rua-geraldo-frazzio-lt-05-porcao-02-da-qd-01-parque-industrial-sao-domingos-x112755?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-574-m2-barra-bonita-sp-rua-domingos-joao-guzzo-esquina-com-rua-geraldo-frazzio-lt-05-porcao-02-da-qd-01-parque-industrial-sao-domingos-x112755&utm_term=X112755&utm_content=link,198000.00
