comitente,edital_link,endereco,error,leiloeiro,matricula_link,processo_link,tipo_leilao,url,valor
,https://cdn1.megaleiloes.com.br/batches/111945/megaleiloes_edital_J111945_250613-132619.pdf,"Rua Benedito da Cunha Campos, 535, Jardim Nazareth, Mogi Mirim, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/111945/megaleiloes_matricula_J111945_250613-132619.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=0002234-35.2020&foroNumeroUnificado=0363&dadosConsulta.valorConsultaNuUnificado=0002234-35.2020.8.26.0363&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/mogi-mirim/apartamento-45-m2-01-vaga-jardim-nazareth-mogi-mirim-sp-j111945?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-45-m2-01-vaga-jardim-nazareth-mogi-mirim-sp-j111945&utm_term=J111945&utm_content=link,98709.49
,https://cdn1.megaleiloes.com.br/batches/111936/megaleiloes_edital_J111936_250613-095517.pdf,"Rua Maria Angélica Soares Gomes, 07, Jardim Matarazzo, São Paulo, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/111936/megaleiloes_matricula_J111936_250613-095517.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=0021347-26.2013&foroNumeroUnificado=0005&dadosConsulta.valorConsultaNuUnificado=0021347-26.2013.8.26.0005&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/direitos-sobre-apartamento-49-m2-01-vaga-jardim-matarazzo-sao-paulo-sp-j111936?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-apartamento-49-m2-01-vaga-jardim-matarazzo-sao-paulo-sp-j111936&utm_term=J111936&utm_content=link,207938.95
,https://cdn1.megaleiloes.com.br/batches/111909/megaleiloes_edital_J111909_250612-135345.pdf,"Rua Copacabana, 295 - Casa 03, Sítio Paecara (Vicente de Carvalho), Guarujá, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/111909/megaleiloes_matricula_J111909_250612-135345.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=0004386-88.2020&foroNumeroUnificado=0223&dadosConsulta.valorConsultaNuUnificado=0004386-88.2020.8.26.0223&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/guaruja/casa-no-litoral-com-93-m2-unid-03-sitio-paecara-guaruja-sp-j111909?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-no-litoral-com-93-m2-unid-03-sitio-paecara-guaruja-sp-j111909&utm_term=J111909&utm_content=link,199834.16
,https://cdn1.megaleiloes.com.br/batches/111943/megaleiloes_edital_J111943_250613-125457.pdf,"Avenida Expedito Quartieri, 1507, Jardim Quartieri, Mogi Mirim, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/111943/megaleiloes_matricula_J111943_250613-125457.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=0001808-23.2020&foroNumeroUnificado=0363&dadosConsulta.valorConsultaNuUnificado=0001808-23.2020.8.26.0363&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/mogi-mirim/direitos-sobre-apartamento-48-m2-01-vaga-jardim-quartieri-mogi-mirim-sp-j111943?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-apartamento-48-m2-01-vaga-jardim-quartieri-mogi-mirim-sp-j111943&utm_term=J111943&utm_content=link,78919.69
,https://cdn1.megaleiloes.com.br/batches/111942/megaleiloes_edital_J111942_250613-115549.pdf,"Praça Júlio Mesquita, 69, República, São Paulo, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/111942/megaleiloes_matricula_J111942_250613-115549.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=0000597-91.2022&foroNumeroUnificado=0100&dadosConsulta.valorConsultaNuUnificado=0000597-91.2022.8.26.0100&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-48-m2-prox-a-av-sao-joao-republica-sao-paulo-sp-j111942?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-48-m2-prox-a-av-sao-joao-republica-sao-paulo-sp-j111942&utm_term=J111942&utm_content=link,151211.00
,https://cdn1.megaleiloes.com.br/batches/112145/megaleiloes_edital_J112145_250617-123052.pdf,"Rua Pedro Pomponazzi, 789, Vila Mariana, São Paulo, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/112145/megaleiloes_matricula_J112145_250617-101405.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=1098310-83.2021&foroNumeroUnificado=0100&dadosConsulta.valorConsultaNuUnificado=1098310-83.2021.8.26.0100&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-114-m2-02-vagas-vila-mariana-sao-paulo-sp-j112145?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-114-m2-02-vagas-vila-mariana-sao-paulo-sp-j112145&utm_term=J112145&utm_content=link,790280.34
,https://cdn1.megaleiloes.com.br/batches/111941/megaleiloes_edital_J111941_250613-114424.pdf,"Rua Saturno, 41, Aclimação, São Paulo, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/111941/megaleiloes_matricula_J111941_250613-114424.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=1027169-97.2004&foroNumeroUnificado=0/01&dadosConsulta.valorConsultaNuUnificado=1027169-97.2004.8.26.0100/01&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-154-m2-metro-vergueiro-aclimacao-sao-paulo-sp-j111941?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-154-m2-metro-vergueiro-aclimacao-sao-paulo-sp-j111941&utm_term=J111941&utm_content=link,799901.38
ITAÚ UNIBANCO S/A,,"Rua Coronel Pedro Dias de Campos, 804, Vila Matilde, São Paulo, SP",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-79-m2-01-vaga-vila-matilde-sao-paulo-sp-x113254?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-79-m2-01-vaga-vila-matilde-sao-paulo-sp-x113254&utm_term=X113254&utm_content=link,868206.30
BSP EMPRENDIMENTOS IMOBILIÁRIOS S/A,,"Praça Pio X, 98/98-A, Centro, Rio de Janeiro, RJ",Unexpected error: 'NoneType' object has no attribute 'find'. Traceback: None,Fernando José Cerello G. Pereira (JUCESP Nº 844),,,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/rj/rio-de-janeiro/loja-1361-m2-privativa--comum-rio-de-janeiro-rj-praca-pio-x-9898-a-centro-x112656?utm_source=megaleiloes&utm_medium=link&utm_campaign=loja-1361-m2-privativa--comum-rio-de-janeiro-rj-praca-pio-x-9898-a-centro-x112656&utm_term=X112656&utm_content=link,4620000.00
,https://cdn1.megaleiloes.com.br/batches/110751/megaleiloes_edital_J110751_250507-132114.pdf,"Alameda Eduardo Prado, 698, Campos Elíseos, São Paulo, SP",,Fernando José Cerello G. Pereira (JUCESP Nº 844),https://cdn1.megaleiloes.com.br/batches/110751/megaleiloes_matricula_J110751_250507-133118.pdf,https://esaj.tjsp.jus.br/cpopg/search.do?conversationId=&dadosConsulta.localPesquisa.cdLocal=&cbPesquisa=NUMPROC&dadosConsulta.tipoNuProcesso=UNIFICADO&numeroDigitoAnoUnificado=1145329-80.2024&foroNumeroUnificado=0100&dadosConsulta.valorConsultaNuUnificado=1145329-80.2024.8.26.0100&dadosConsulta.valorConsulta=,Judicial,https://www.megaleiloes.com.br/imoveis/terrenos-para-incorporacao/sp/sao-paulo/area-de-1360-m2-com-possibilidade-de-incorporacao-imobiliaria-proximo-ao-metro-campos-eliseos-sao-paulo-sp-j110751?utm_source=megaleiloes&utm_medium=link&utm_campaign=area-de-1360-m2-com-possibilidade-de-incorporacao-imobiliaria-proximo-ao-metro-campos-eliseos-sao-paulo-sp-j110751&utm_term=J110751&utm_content=link,3776555.86
